,Meta Data,Time Series (5min)
1. Information,"Intraday (5min) open, high, low, close prices and volume",
2. Symbol,IBM,
3. Last Refreshed,2021-04-13 19:30:00,
4. Interval,5min,
5. Output Size,Compact,
6. Time Zone,US/Eastern,
2021-04-13 19:30:00,,"{'1. open': '131.0100', '2. high': '131.0100', '3. low': '131.0100', '4. close': '131.0100', '5. volume': '452'}"
2021-04-13 19:25:00,,"{'1. open': '131.0500', '2. high': '131.0500', '3. low': '131.0500', '4. close': '131.0500', '5. volume': '150'}"
2021-04-13 18:10:00,,"{'1. open': '131.1800', '2. high': '131.1800', '3. low': '131.1800', '4. close': '131.1800', '5. volume': '784'}"
2021-04-13 18:05:00,,"{'1. open': '131.1800', '2. high': '131.1800', '3. low': '131.1800', '4. close': '131.1800', '5. volume': '103'}"
2021-04-13 17:40:00,,"{'1. open': '131.2000', '2. high': '131.2000', '3. low': '131.2000', '4. close': '131.2000', '5. volume': '400'}"
2021-04-13 17:10:00,,"{'1. open': '131.1800', '2. high': '131.1800', '3. low': '131.1800', '4. close': '131.1800', '5. volume': '108'}"
2021-04-13 17:05:00,,"{'1. open': '131.1400', '2. high': '131.1800', '3. low': '131.1400', '4. close': '131.1400', '5. volume': '7361'}"
2021-04-13 16:50:00,,"{'1. open': '131.1900', '2. high': '131.1900', '3. low': '131.1900', '4. close': '131.1900', '5. volume': '201'}"
2021-04-13 16:45:00,,"{'1. open': '131.1500', '2. high': '131.1500', '3. low': '131.1500', '4. close': '131.1500', '5. volume': '368'}"
2021-04-13 16:40:00,,"{'1. open': '131.1500', '2. high': '131.1500', '3. low': '131.1500', '4. close': '131.1500', '5. volume': '218'}"
2021-04-13 16:35:00,,"{'1. open': '131.2000', '2. high': '131.2000', '3. low': '131.2000', '4. close': '131.2000', '5. volume': '275'}"
2021-04-13 16:25:00,,"{'1. open': '131.1800', '2. high': '131.1800', '3. low': '131.1800', '4. close': '131.1800', '5. volume': '170612'}"
2021-04-13 16:20:00,,"{'1. open': '131.2000', '2. high': '131.2000', '3. low': '131.2000', '4. close': '131.2000', '5. volume': '151'}"
2021-04-13 16:10:00,,"{'1. open': '131.1800', '2. high': '131.1800', '3. low': '131.1800', '4. close': '131.1800', '5. volume': '5340'}"
2021-04-13 16:05:00,,"{'1. open': '131.1800', '2. high': '131.3600', '3. low': '131.1400', '4. close': '131.1400', '5. volume': '252557'}"
2021-04-13 16:00:00,,"{'1. open': '131.0800', '2. high': '131.2800', '3. low': '131.0300', '4. close': '131.1900', '5. volume': '465781'}"
2021-04-13 15:55:00,,"{'1. open': '131.0600', '2. high': '131.0900', '3. low': '130.9200', '4. close': '131.0800', '5. volume': '185069'}"
2021-04-13 15:50:00,,"{'1. open': '131.0300', '2. high': '131.1100', '3. low': '131.0100', '4. close': '131.0500', '5. volume': '91263'}"
2021-04-13 15:45:00,,"{'1. open': '131.0600', '2. high': '131.1600', '3. low': '130.9800', '4. close': '131.0400', '5. volume': '155746'}"
2021-04-13 15:40:00,,"{'1. open': '131.0800', '2. high': '131.1700', '3. low': '131.0400', '4. close': '131.0550', '5. volume': '107392'}"
2021-04-13 15:35:00,,"{'1. open': '131.0600', '2. high': '131.1400', '3. low': '131.0400', '4. close': '131.0900', '5. volume': '64175'}"
2021-04-13 15:30:00,,"{'1. open': '131.1400', '2. high': '131.1750', '3. low': '131.0500', '4. close': '131.0600', '5. volume': '56931'}"
2021-04-13 15:25:00,,"{'1. open': '131.2400', '2. high': '131.3200', '3. low': '131.1400', '4. close': '131.1500', '5. volume': '61126'}"
2021-04-13 15:20:00,,"{'1. open': '131.1600', '2. high': '131.2400', '3. low': '131.0300', '4. close': '131.2400', '5. volume': '52078'}"
2021-04-13 15:15:00,,"{'1. open': '131.2100', '2. high': '131.2450', '3. low': '131.0900', '4. close': '131.1500', '5. volume': '49711'}"
2021-04-13 15:10:00,,"{'1. open': '130.8500', '2. high': '131.2100', '3. low': '130.8400', '4. close': '131.2100', '5. volume': '84689'}"
2021-04-13 15:05:00,,"{'1. open': '130.7500', '2. high': '130.9450', '3. low': '130.7500', '4. close': '130.8500', '5. volume': '66130'}"
2021-04-13 15:00:00,,"{'1. open': '130.8850', '2. high': '130.8850', '3. low': '130.7300', '4. close': '130.7413', '5. volume': '73304'}"
2021-04-13 14:55:00,,"{'1. open': '130.9600', '2. high': '130.9800', '3. low': '130.8600', '4. close': '130.8850', '5. volume': '36681'}"
2021-04-13 14:50:00,,"{'1. open': '130.9950', '2. high': '131.0250', '3. low': '130.9500', '4. close': '130.9650', '5. volume': '42184'}"
2021-04-13 14:45:00,,"{'1. open': '130.9150', '2. high': '131.0000', '3. low': '130.9150', '4. close': '130.9900', '5. volume': '37474'}"
2021-04-13 14:40:00,,"{'1. open': '130.8300', '2. high': '130.9200', '3. low': '130.8200', '4. close': '130.9164', '5. volume': '32035'}"
2021-04-13 14:35:00,,"{'1. open': '130.8600', '2. high': '130.9200', '3. low': '130.8301', '4. close': '130.8301', '5. volume': '43682'}"
2021-04-13 14:30:00,,"{'1. open': '130.9050', '2. high': '131.0250', '3. low': '130.8600', '4. close': '130.8600', '5. volume': '71553'}"
2021-04-13 14:25:00,,"{'1. open': '130.8231', '2. high': '130.9159', '3. low': '130.8000', '4. close': '130.9150', '5. volume': '47618'}"
2021-04-13 14:20:00,,"{'1. open': '130.6600', '2. high': '130.8700', '3. low': '130.6600', '4. close': '130.8200', '5. volume': '48773'}"
2021-04-13 14:15:00,,"{'1. open': '130.6150', '2. high': '130.7200', '3. low': '130.6100', '4. close': '130.6800', '5. volume': '76631'}"
2021-04-13 14:10:00,,"{'1. open': '130.6100', '2. high': '130.6700', '3. low': '130.6000', '4. close': '130.6101', '5. volume': '43756'}"
2021-04-13 14:05:00,,"{'1. open': '130.5100', '2. high': '130.6800', '3. low': '130.4800', '4. close': '130.6300', '5. volume': '96912'}"
2021-04-13 14:00:00,,"{'1. open': '130.5300', '2. high': '130.5700', '3. low': '130.5000', '4. close': '130.5100', '5. volume': '38639'}"
2021-04-13 13:55:00,,"{'1. open': '130.5250', '2. high': '130.5450', '3. low': '130.4797', '4. close': '130.5300', '5. volume': '34889'}"
2021-04-13 13:50:00,,"{'1. open': '130.5530', '2. high': '130.5550', '3. low': '130.4700', '4. close': '130.5240', '5. volume': '40840'}"
2021-04-13 13:45:00,,"{'1. open': '130.5000', '2. high': '130.5700', '3. low': '130.4800', '4. close': '130.5500', '5. volume': '45231'}"
2021-04-13 13:40:00,,"{'1. open': '130.5200', '2. high': '130.5800', '3. low': '130.4700', '4. close': '130.5100', '5. volume': '54997'}"
2021-04-13 13:35:00,,"{'1. open': '130.4700', '2. high': '130.5400', '3. low': '130.4700', '4. close': '130.5250', '5. volume': '58848'}"
2021-04-13 13:30:00,,"{'1. open': '130.5600', '2. high': '130.5600', '3. low': '130.4500', '4. close': '130.4900', '5. volume': '47250'}"
2021-04-13 13:25:00,,"{'1. open': '130.6100', '2. high': '130.6400', '3. low': '130.5550', '4. close': '130.5576', '5. volume': '27632'}"
2021-04-13 13:20:00,,"{'1. open': '130.5500', '2. high': '130.6400', '3. low': '130.5300', '4. close': '130.6100', '5. volume': '30792'}"
2021-04-13 13:15:00,,"{'1. open': '130.6900', '2. high': '130.7201', '3. low': '130.5400', '4. close': '130.5600', '5. volume': '33909'}"
2021-04-13 13:10:00,,"{'1. open': '130.6000', '2. high': '130.6900', '3. low': '130.5300', '4. close': '130.6800', '5. volume': '62161'}"
2021-04-13 13:05:00,,"{'1. open': '130.6350', '2. high': '130.6500', '3. low': '130.5399', '4. close': '130.6050', '5. volume': '54353'}"
2021-04-13 13:00:00,,"{'1. open': '130.6100', '2. high': '130.6750', '3. low': '130.5900', '4. close': '130.6301', '5. volume': '38219'}"
2021-04-13 12:55:00,,"{'1. open': '130.5200', '2. high': '130.6300', '3. low': '130.4900', '4. close': '130.6122', '5. volume': '41887'}"
2021-04-13 12:50:00,,"{'1. open': '130.4600', '2. high': '130.5306', '3. low': '130.4400', '4. close': '130.5306', '5. volume': '33397'}"
2021-04-13 12:45:00,,"{'1. open': '130.4000', '2. high': '130.5200', '3. low': '130.4000', '4. close': '130.4607', '5. volume': '48496'}"
2021-04-13 12:40:00,,"{'1. open': '130.4930', '2. high': '130.5000', '3. low': '130.3800', '4. close': '130.4000', '5. volume': '61743'}"
2021-04-13 12:35:00,,"{'1. open': '130.5100', '2. high': '130.5600', '3. low': '130.4500', '4. close': '130.4900', '5. volume': '62065'}"
2021-04-13 12:30:00,,"{'1. open': '130.5299', '2. high': '130.5600', '3. low': '130.4300', '4. close': '130.5000', '5. volume': '76493'}"
2021-04-13 12:25:00,,"{'1. open': '130.6158', '2. high': '130.6400', '3. low': '130.5100', '4. close': '130.5100', '5. volume': '65475'}"
